hotel,lead_time,arrival_date_week_number,arrival_date_day_of_month,stays_in_weekend_nights,stays_in_week_nights,adults
Resort Hotel,342,27,1,0,0,2
Resort Hotel,737,27,1,0,0,2
Resort Hotel,7,27,1,0,1,1
Resort Hotel,13,27,1,0,1,1
Resort Hotel,14,27,1,0,2,2
Resort Hotel,14,27,1,0,2,2
Resort Hotel,0,27,1,0,2,2
Resort Hotel,9,27,1,0,2,2
Resort Hotel,85,27,1,0,3,2
Resort Hotel,75,27,1,0,3,2
Resort Hotel,23,27,1,0,4,2
Resort Hotel,35,27,1,0,4,2
Resort Hotel,68,27,1,0,4,2
Resort Hotel,18,27,1,0,4,2
Resort Hotel,37,27,1,0,4,2
Resort Hotel,68,27,1,0,4,2
Resort Hotel,37,27,1,0,4,2
Resort Hotel,12,27,1,0,1,2
Resort Hotel,0,27,1,0,1,2
Resort Hotel,7,27,1,0,4,2
Resort Hotel,37,27,1,1,4,1
Resort Hotel,72,27,1,2,4,2
Resort Hotel,72,27,1,2,4,2
Resort Hotel,72,27,1,2,4,2
Resort Hotel,127,27,1,2,5,2
Resort Hotel,78,27,1,2,5,2
Resort Hotel,48,27,1,2,5,2
Resort Hotel,60,27,1,2,5,2
Resort Hotel,77,27,1,2,5,2
Resort Hotel,99,27,1,2,5,2
Resort Hotel,118,27,1,4,10,1
Resort Hotel,95,27,1,4,11,2
Resort Hotel,96,27,1,2,8,2
Resort Hotel,69,27,2,2,4,2
Resort Hotel,45,27,2,1,3,3
Resort Hotel,40,27,2,1,3,3
Resort Hotel,15,27,2,1,3,2
Resort Hotel,36,27,2,1,3,3
Resort Hotel,43,27,2,1,3,3
Resort Hotel,70,27,2,2,3,2
Resort Hotel,45,27,2,2,3,2
Resort Hotel,45,27,2,2,3,2
Resort Hotel,16,27,2,2,3,2
Resort Hotel,70,27,2,2,3,2
Resort Hotel,107,27,2,2,5,2
Resort Hotel,47,27,2,2,5,2
Resort Hotel,96,27,2,2,5,2
Resort Hotel,113,27,2,2,5,2
Resort Hotel,90,27,2,2,5,2
Resort Hotel,50,27,2,2,5,2
Resort Hotel,113,27,2,2,5,2
Resort Hotel,93,27,2,3,8,2
Resort Hotel,76,27,2,4,10,2
Resort Hotel,3,27,2,0,1,2
Resort Hotel,1,27,2,0,1,2
Resort Hotel,1,27,2,0,1,2
Resort Hotel,0,27,2,0,1,2
Resort Hotel,0,27,2,0,1,2
Resort Hotel,0,27,2,0,1,2
Resort Hotel,14,27,2,0,2,2
Resort Hotel,10,27,2,0,2,2
Resort Hotel,5,27,2,0,2,2
Resort Hotel,17,27,2,0,3,2
Resort Hotel,93,27,2,0,3,2
Resort Hotel,3,27,2,0,3,2
Resort Hotel,10,27,3,0,2,2
Resort Hotel,3,27,3,0,2,2
Resort Hotel,51,27,3,0,2,2
Resort Hotel,71,27,3,0,2,3
Resort Hotel,63,27,3,0,2,2
Resort Hotel,62,27,3,0,2,2
Resort Hotel,101,27,3,0,2,2
Resort Hotel,2,27,3,0,2,2
Resort Hotel,15,27,3,0,2,2
Resort Hotel,51,27,3,0,2,3
Resort Hotel,3,27,3,1,2,2
Resort Hotel,48,27,3,1,2,2
Resort Hotel,2,27,3,2,2,1
Resort Hotel,72,27,3,2,2,2
Resort Hotel,81,27,3,2,6,3
Resort Hotel,99,27,3,2,7,2
Resort Hotel,368,27,3,3,7,2
Resort Hotel,364,27,3,3,7,2
Resort Hotel,81,27,3,3,7,2
Resort Hotel,99,27,3,3,7,2
Resort Hotel,324,27,3,4,10,2
Resort Hotel,69,27,3,4,10,2
Resort Hotel,79,27,3,6,15,2
Resort Hotel,12,27,3,0,1,2
Resort Hotel,9,27,3,0,1,2
Resort Hotel,1,27,3,0,1,2
Resort Hotel,21,27,3,0,1,2
Resort Hotel,9,27,3,0,1,2
Resort Hotel,109,27,3,0,1,2
Resort Hotel,109,27,3,0,2,2
Resort Hotel,72,27,3,0,2,2
Resort Hotel,63,27,3,2,5,2
Resort Hotel,63,27,3,2,5,3
Resort Hotel,101,27,3,2,5,2
